page,会社名,勤務地
7,株式会社ダイヤコンサ,【北海道エリア限定採
7,川中島建設株式会社 ,＼ 転勤なし＆寮完備
7,株式会社wonder,【転勤なし】 ★乃木
7,スター精密株式会社 ,☆「菊川駅」より工場
7,スター精密株式会社 ,☆「菊川駅」より工場
9,藤田エンジニアリング,【本社】 群馬県高崎
9,株式会社日設 | 【,希望勤務地を考慮しま
9,株式会社刷新,【東京支店】 東京都
9,ホクシンハウス株式会,長野市、松本市、佐久
9,株式会社フジキン |,岩手県奥州市江刺岩谷
9,長野ドライルーブ株式,【箕輪工場】 長野県
9,ホクシンハウス株式会,長野市、松本市、佐久
9,ホクシンハウス株式会,【長野本社】JR長野
9,株式会社刷新,【東京支店】 東京都
9,山岡石材工業株式会社,希望勤務地を考慮し黒
9,株式会社パパまるハウ,以下の新潟・長野・山
9,ホクシンハウス株式会,【長野本社】JR長野
9,ホクシンハウス株式会,【長野・松本・佐久エ
9,株式会社野田建設 |,【広丘駅から徒歩約2
9,ホクシンハウス株式会,【長野本社】JR長野
9,ホクシンハウス株式会,【長野本社】JR長野
9,株式会社ジェスクホリ,◎金沢、富山、新潟、
9,株式会社ダイヤコンサ,【全国募集】 北海道
9,ルミーズ株式会社 |,＼ 転勤なし ／ 【
9,石田建設株式会社 |,【本社】 長野県駒ヶ
9,石田建設株式会社 |,【本社】 長野県駒ヶ
9,株式会社ダイヤコンサ,【全国募集】 北海道
9,株式会社綿半ホームエ,本社／長野県長野市南
9,株式会社ダイヤコンサ,【全国募集】 北海道
9,石田建設株式会社 |,【本社】 長野県駒ヶ
9,株式会社ジェスクホリ,◎金沢、富山、新潟、
9,株式会社ナガエ | ,富山県高岡市荒屋敷2
9,株式会社アルトナー ,横浜・宇都宮・大阪・
9,アラインテック株式会,【UIターン歓迎／マ
9,株式会社一休さんのは,＼ 転勤なし ／ 長
9,アイメックス株式会社,草加工場(埼玉県八潮
9,化興株式会社 | 化,≪岡谷ICから車で8
9,株式会社一休さんのは,＼ 転勤なし ／ 長
9,マルコメ株式会社 |,【本社】 長野県長野
9,マルコメ株式会社 |,【本社】 長野県長野
9,株式会社イチネン |,◆東京支店 東京都港
9,マルコメ株式会社 |,【Marukome 
9,株式会社リアルト・ハ,《転勤なし／マイカー
9,アイメックス株式会社,草加工場(埼玉県八潮
9,マルコメ株式会社 |,【東京本部】 東京都
9,マルコメ株式会社 |,北海道・宮城・東京・
9,長野県農協直販株式会,【本社】 長野県長野
9,スター精密株式会社 ,☆「菊川駅」より工場
9,スター精密株式会社 ,☆「菊川駅」より工場
9,川中島建設株式会社 ,＼ 転勤なし＆寮完備
9,株式会社ダイヤコンサ,【北海道エリア限定採
9,川中島建設株式会社 ,＼ 転勤なし＆寮完備
9,株式会社wonder,【転勤なし】 ★乃木
9,スター精密株式会社 ,☆「菊川駅」より工場
9,スター精密株式会社 ,☆「菊川駅」より工場
2,スター精密株式会社 ,☆「菊川駅」より工場
2,サンコーコンサルタン,【名古屋支店】 愛知
2,社会福祉法人　信濃の,◆生活介護事業所　ぴ
2,日本綜合建設株式会社,長野本社または松本支
2,アラインテック株式会,【UIターン歓迎／マ
