,page,会社名,勤務地
189,7,マルコメ株式会社 |,【東京本部】 東京都
190,7,マルコメ株式会社 |,北海道・宮城・東京・
191,7,長野県農協直販株式会,【本社】 長野県長野
192,7,スター精密株式会社 ,☆「菊川駅」より工場
193,7,スター精密株式会社 ,☆「菊川駅」より工場
194,7,川中島建設株式会社 ,＼ 転勤なし＆寮完備
195,7,株式会社ダイヤコンサ,【北海道エリア限定採
196,7,川中島建設株式会社 ,＼ 転勤なし＆寮完備
197,7,株式会社wonder,【転勤なし】 ★乃木
198,7,スター精密株式会社 ,☆「菊川駅」より工場
199,7,スター精密株式会社 ,☆「菊川駅」より工場
200,9,藤田エンジニアリング,【本社】 群馬県高崎
201,9,株式会社日設 | 【,希望勤務地を考慮しま
202,9,株式会社刷新,【東京支店】 東京都
203,9,ホクシンハウス株式会,長野市、松本市、佐久
204,9,株式会社フジキン |,岩手県奥州市江刺岩谷
205,9,長野ドライルーブ株式,【箕輪工場】 長野県
206,9,ホクシンハウス株式会,長野市、松本市、佐久
207,9,ホクシンハウス株式会,【長野本社】JR長野
208,9,株式会社刷新,【東京支店】 東京都
209,9,山岡石材工業株式会社,希望勤務地を考慮し黒
210,9,株式会社パパまるハウ,以下の新潟・長野・山
211,9,ホクシンハウス株式会,【長野本社】JR長野
212,9,ホクシンハウス株式会,【長野・松本・佐久エ
213,9,株式会社野田建設 |,【広丘駅から徒歩約2
214,9,ホクシンハウス株式会,【長野本社】JR長野
215,9,ホクシンハウス株式会,【長野本社】JR長野
216,9,株式会社ジェスクホリ,◎金沢、富山、新潟、
217,9,株式会社ダイヤコンサ,【全国募集】 北海道
218,9,ルミーズ株式会社 |,＼ 転勤なし ／ 【
219,9,石田建設株式会社 |,【本社】 長野県駒ヶ
220,9,石田建設株式会社 |,【本社】 長野県駒ヶ
221,9,株式会社ダイヤコンサ,【全国募集】 北海道
222,9,株式会社綿半ホームエ,本社／長野県長野市南
223,9,株式会社ダイヤコンサ,【全国募集】 北海道
224,9,石田建設株式会社 |,【本社】 長野県駒ヶ
225,9,株式会社ジェスクホリ,◎金沢、富山、新潟、
226,9,株式会社ナガエ | ,富山県高岡市荒屋敷2
227,9,株式会社アルトナー ,横浜・宇都宮・大阪・
228,9,アラインテック株式会,【UIターン歓迎／マ
229,9,株式会社一休さんのは,＼ 転勤なし ／ 長
230,9,アイメックス株式会社,草加工場(埼玉県八潮
231,9,化興株式会社 | 化,≪岡谷ICから車で8
232,9,株式会社一休さんのは,＼ 転勤なし ／ 長
233,9,マルコメ株式会社 |,【本社】 長野県長野
234,9,マルコメ株式会社 |,【本社】 長野県長野
235,9,株式会社イチネン |,◆東京支店 東京都港
236,9,マルコメ株式会社 |,【Marukome 
237,9,株式会社リアルト・ハ,《転勤なし／マイカー
238,9,アイメックス株式会社,草加工場(埼玉県八潮
239,9,マルコメ株式会社 |,【東京本部】 東京都
240,9,マルコメ株式会社 |,北海道・宮城・東京・
241,9,長野県農協直販株式会,【本社】 長野県長野
242,9,スター精密株式会社 ,☆「菊川駅」より工場
243,9,スター精密株式会社 ,☆「菊川駅」より工場
244,9,川中島建設株式会社 ,＼ 転勤なし＆寮完備
245,9,株式会社ダイヤコンサ,【北海道エリア限定採
246,9,川中島建設株式会社 ,＼ 転勤なし＆寮完備
247,9,株式会社wonder,【転勤なし】 ★乃木
248,9,スター精密株式会社 ,☆「菊川駅」より工場
249,9,スター精密株式会社 ,☆「菊川駅」より工場
250,2,スター精密株式会社 ,☆「菊川駅」より工場
251,2,サンコーコンサルタン,【名古屋支店】 愛知
252,2,社会福祉法人　信濃の,◆生活介護事業所　ぴ
253,2,日本綜合建設株式会社,長野本社または松本支
254,2,アラインテック株式会,【UIターン歓迎／マ
255,2,株式会社ケイケンシス,【本社】 長野県長野
256,2,アラインテック株式会,【UIターン歓迎／マ
257,2,アラインテック株式会,【UIターン歓迎／マ
258,2,日本綜合建設株式会社,長野本社または松本支
259,2,日本綜合建設株式会社,長野本社 ◎リモート
260,2,株式会社アンドー |,本社または各支店 【
261,2,株式会社小山産業 |,＼ 転勤なし ／ 【
262,2,株式会社イチネン |,◆大阪本社 大阪市淀
263,2,株式会社 シン技術コ,本社／札幌市白石区栄
264,2,税理士法人三澤会計 ,長野県諏訪市高島3-
265,2,株式会社BBSアウト,《転勤なし／U・Iタ
266,2,株式会社BBSアウト,《転勤なし／U・Iタ
267,2,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
268,2,株式会社BBSアウト,《転勤なし／駅近オフ
269,2,ニチアスセラテック株,【U・Iターン歓迎！
270,2,日本ニューホランド株,【全国の各営業所】 
271,2,諏訪金属株式会社 |,【本店】 長野県諏訪
272,2,株式会社デイリーはや,【新潟越路工場】 新
273,2,損害保険ジャパン株式,◇転居を伴う転勤なし
274,2,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
275,2,大和ライフネクスト株,【希望エリアを最大限
276,2,株式会社 一迅社 |,・本社勤務：新宿区 
277,2,中部フーズ株式会社 ,■東海三県募集！勤務
278,2,中部フーズ株式会社 ,・岐阜県多治見市高根
279,2,株式会社創和設計 |,【本社】 長野県上伊
280,2,中部フーズ株式会社 ,■東海三県募集！勤務
281,2,塩尻市役所,市役所本庁舎、支所 
282,2,有限会社タバタ産業 ,【転勤なし◎】長野市
283,2,長野県警察 | 20,長野県警察本部、長野
284,2,ヴェオリア・ジェネッ,【マイカー通勤OK◎
285,2,株式会社ヒルストンキ,【北信】 長野市、須
286,2,株式会社小松電気設備,【本社】 長野県塩尻
287,2,マーベルキャリアコン,長野県内各地 ＊人材
288,2,新日本設計株式会社 ,◆名古屋駅からも徒歩
289,2,アスリートFA株式会,【本社】 長野県諏訪
290,2,新日本設計株式会社 ,◆名古屋駅からも徒歩
291,2,降幡自動車株式会社 ,【本社】 長野県松本
292,2,株式会社ユリーカ |,【本社】 長野県塩尻
293,2,佐田建設株式会社 |,東北営業所／宮城県仙
294,2,株式会社オサカベ自動,【転勤なし／U・Iタ
295,2,株式会社サテライトネ,★埼玉・東京・新潟・
296,2,ニッパツ・メック株式,【車通勤OK】【転勤
297,2,美保テクノス株式会社,【 転勤ナシ／車通勤
298,2,専門学校 岡山情報ビ,【 転勤なし／JR岡
299,2,専門学校 岡山情報ビ,【 転勤なし／JR岡
300,4,スター精密株式会社 ,☆「菊川駅」より工場
301,4,サンコーコンサルタン,【名古屋支店】 愛知
302,4,社会福祉法人　信濃の,◆生活介護事業所　ぴ
303,4,日本綜合建設株式会社,長野本社または松本支
304,4,アラインテック株式会,【UIターン歓迎／マ
305,4,株式会社ケイケンシス,【本社】 長野県長野
306,4,アラインテック株式会,【UIターン歓迎／マ
307,4,アラインテック株式会,【UIターン歓迎／マ
308,4,日本綜合建設株式会社,長野本社または松本支
309,4,日本綜合建設株式会社,長野本社 ◎リモート
310,4,株式会社アンドー |,本社または各支店 【
311,4,株式会社小山産業 |,＼ 転勤なし ／ 【
312,4,株式会社イチネン |,◆大阪本社 大阪市淀
313,4,株式会社 シン技術コ,本社／札幌市白石区栄
314,4,税理士法人三澤会計 ,長野県諏訪市高島3-
315,4,株式会社BBSアウト,《転勤なし／U・Iタ
316,4,株式会社BBSアウト,《転勤なし／U・Iタ
317,4,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
318,4,株式会社BBSアウト,《転勤なし／駅近オフ
319,4,ニチアスセラテック株,【U・Iターン歓迎！
320,4,日本ニューホランド株,【全国の各営業所】 
321,4,諏訪金属株式会社 |,【本店】 長野県諏訪
322,4,株式会社デイリーはや,【新潟越路工場】 新
323,4,損害保険ジャパン株式,◇転居を伴う転勤なし
324,4,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
325,4,大和ライフネクスト株,【希望エリアを最大限
326,4,株式会社 一迅社 |,・本社勤務：新宿区 
327,4,中部フーズ株式会社 ,■東海三県募集！勤務
328,4,中部フーズ株式会社 ,・岐阜県多治見市高根
329,4,株式会社創和設計 |,【本社】 長野県上伊
330,4,中部フーズ株式会社 ,■東海三県募集！勤務
331,4,塩尻市役所,市役所本庁舎、支所 
332,4,有限会社タバタ産業 ,【転勤なし◎】長野市
333,4,長野県警察 | 20,長野県警察本部、長野
334,4,ヴェオリア・ジェネッ,【マイカー通勤OK◎
335,4,株式会社ヒルストンキ,【北信】 長野市、須
336,4,株式会社小松電気設備,【本社】 長野県塩尻
337,4,マーベルキャリアコン,長野県内各地 ＊人材
338,4,新日本設計株式会社 ,◆名古屋駅からも徒歩
339,4,アスリートFA株式会,【本社】 長野県諏訪
340,4,新日本設計株式会社 ,◆名古屋駅からも徒歩
341,4,降幡自動車株式会社 ,【本社】 長野県松本
342,4,株式会社ユリーカ |,【本社】 長野県塩尻
343,4,佐田建設株式会社 |,東北営業所／宮城県仙
344,4,株式会社オサカベ自動,【転勤なし／U・Iタ
345,4,株式会社サテライトネ,★埼玉・東京・新潟・
346,4,ニッパツ・メック株式,【車通勤OK】【転勤
347,4,美保テクノス株式会社,【 転勤ナシ／車通勤
348,4,専門学校 岡山情報ビ,【 転勤なし／JR岡
349,4,専門学校 岡山情報ビ,【 転勤なし／JR岡
350,6,スター精密株式会社 ,☆「菊川駅」より工場
351,6,サンコーコンサルタン,【名古屋支店】 愛知
352,6,社会福祉法人　信濃の,◆生活介護事業所　ぴ
353,6,日本綜合建設株式会社,長野本社または松本支
354,6,アラインテック株式会,【UIターン歓迎／マ
355,6,株式会社ケイケンシス,【本社】 長野県長野
356,6,アラインテック株式会,【UIターン歓迎／マ
357,6,アラインテック株式会,【UIターン歓迎／マ
358,6,日本綜合建設株式会社,長野本社または松本支
359,6,日本綜合建設株式会社,長野本社 ◎リモート
360,6,株式会社アンドー |,本社または各支店 【
361,6,株式会社小山産業 |,＼ 転勤なし ／ 【
362,6,株式会社イチネン |,◆大阪本社 大阪市淀
363,6,株式会社 シン技術コ,本社／札幌市白石区栄
364,6,税理士法人三澤会計 ,長野県諏訪市高島3-
365,6,株式会社BBSアウト,《転勤なし／U・Iタ
366,6,株式会社BBSアウト,《転勤なし／U・Iタ
367,6,株式会社滝澤鉄工所 ,【転勤なし◎マイカー
368,6,株式会社BBSアウト,《転勤なし／駅近オフ
369,6,ニチアスセラテック株,【U・Iターン歓迎！
370,6,日本ニューホランド株,【全国の各営業所】 
371,6,諏訪金属株式会社 |,【本店】 長野県諏訪
372,6,株式会社デイリーはや,【新潟越路工場】 新
373,6,損害保険ジャパン株式,◇転居を伴う転勤なし
374,6,株式会社豊木工舎 |,＼ 転勤なし ／ 駅
375,6,大和ライフネクスト株,【希望エリアを最大限
376,6,株式会社 一迅社 |,・本社勤務：新宿区 
377,6,中部フーズ株式会社 ,■東海三県募集！勤務
378,6,中部フーズ株式会社 ,・岐阜県多治見市高根
379,6,株式会社創和設計 |,【本社】 長野県上伊
380,6,中部フーズ株式会社 ,■東海三県募集！勤務
381,6,塩尻市役所,市役所本庁舎、支所 
382,6,有限会社タバタ産業 ,【転勤なし◎】長野市
383,6,長野県警察 | 20,長野県警察本部、長野
384,6,ヴェオリア・ジェネッ,【マイカー通勤OK◎
385,6,株式会社ヒルストンキ,【北信】 長野市、須
386,6,株式会社小松電気設備,【本社】 長野県塩尻
387,6,マーベルキャリアコン,長野県内各地 ＊人材
388,6,新日本設計株式会社 ,◆名古屋駅からも徒歩
389,6,アスリートFA株式会,【本社】 長野県諏訪
390,6,新日本設計株式会社 ,◆名古屋駅からも徒歩
391,6,降幡自動車株式会社 ,【本社】 長野県松本
392,6,株式会社ユリーカ |,【本社】 長野県塩尻
